id,jee_main_score,jee_advanced_score,mock_test_score_avg,school_board,class_12_percent,attempt_count,coaching_institute,daily_study_hours,family_income,parent_education,location_type,peer_pressure_level,mental_health_issues,dropout
ST5045,51.3,79.25,58.06,CBSE,67.85,2,FIITJEE,5.3,Low,12th,Semi-Urban,Medium,Yes,no
ST5046,61.92,83.14,69.44,State,77.52,1,Local,3.4,Low,PG,Rural,Medium,Yes,no
ST5047,65.55,32.81,73.41,State,90.49,2,No Coaching,5.8,Low,12th,Semi-Urban,Medium,Yes,yes
ST5048,86.8,65.65,70.52,ICSE,89.86,2,FIITJEE,5.5,Mid,Graduate,Semi-Urban,Low,No,no
ST5049,76.81,83.95,73.49,CBSE,55.5,1,Allen,4.3,Mid,Graduate,Urban,Low,No,no
ST5050,47.32,63.01,73.2,CBSE,74.97,1,Allen,4.2,Mid,Graduate,Semi-Urban,High,Yes,no
ST5051,76.54,77.67,46.74,ICSE,89.85,2,FIITJEE,5.5,Low,12th,Semi-Urban,High,Yes,no
ST5052,66.61,71.62,75.64,CBSE,100,1,Local,6.1,High,Upto 10th,Rural,Low,No,no
ST5053,62.52,71.47,59.95,State,82.04,1,No Coaching,4.6,High,Graduate,Urban,High,No,no
ST5054,80.56,61.66,54.85,State,71.32,2,Local,6.7,High,Graduate,Semi-Urban,Medium,Yes,no
ST5055,86.43,46.53,54.75,ICSE,64.91,2,FIITJEE,5.8,High,12th,Rural,Medium,Yes,no
ST5056,85.04,48.06,73.2,ICSE,97.19,2,No Coaching,0.9,Mid,Graduate,Semi-Urban,Medium,Yes,no
ST5057,60.25,77.35,65.33,ICSE,82.29,1,No Coaching,1.7,High,12th,Urban,High,No,yes
ST5058,67.67,66.31,47.82,State,66.52,1,No Coaching,6.9,Mid,Upto 10th,Urban,Medium,No,no
ST5059,76.64,63.78,73.74,ICSE,72.97,1,Local,4,High,Graduate,Urban,Medium,Yes,no
ST5060,85.66,59.22,50.72,CBSE,78.1,1,Local,4.8,High,Graduate,Urban,Medium,No,no
ST5061,65.29,61.12,69.68,ICSE,80.44,1,FIITJEE,6.8,Mid,Graduate,Urban,Low,Yes,no
ST5062,69.4,82.75,70.86,CBSE,66,1,Allen,4.5,Mid,12th,Urban,Low,Yes,no
ST5063,56.51,60.64,78.63,State,68.86,2,FIITJEE,4.6,High,12th,Rural,Medium,Yes,no
ST5064,55.25,44.54,89.38,CBSE,58.47,2,No Coaching,2.8,Low,PG,Urban,Medium,Yes,no
ST5065,83.38,77.9,51.62,CBSE,85.4,1,FIITJEE,5.2,High,Upto 10th,Semi-Urban,Low,Yes,no
ST5066,90.99,62.72,67.37,CBSE,71.58,2,Allen,5.7,High,PG,Semi-Urban,Low,Yes,no
ST5067,70.99,66.5,64.68,State,79.66,2,FIITJEE,3.3,High,PG,Semi-Urban,High,Yes,no
ST5068,86.05,91.72,73.2,CBSE,89.22,2,Allen,2.7,Mid,PG,Semi-Urban,Low,No,no
ST5069,77.06,65.67,70.59,CBSE,77.2,1,Allen,9.8,High,12th,Urban,Medium,Yes,no
ST5070,62.97,70.63,63.77,ICSE,73.87,2,No Coaching,4.3,Low,Graduate,Urban,Low,No,yes
ST5071,77.06,47.14,62.71,ICSE,76.94,2,Allen,3.1,High,Graduate,Rural,Medium,Yes,no
ST5072,93.53,62.49,54.6,ICSE,75.63,1,Local,5.9,Low,12th,Urban,High,Yes,no
ST5073,71.5,75.75,79.85,CBSE,87.46,1,FIITJEE,4.4,Low,PG,Semi-Urban,Low,Yes,yes
ST5074,93.91,41.11,73.51,CBSE,78.11,1,FIITJEE,2.3,Low,Upto 10th,Rural,High,Yes,yes
ST5075,35.32,69.21,79.01,State,69.56,2,Local,5.5,High,12th,Rural,Medium,Yes,no
ST5076,83.51,67.61,64.28,CBSE,85.48,2,Local,2.8,Mid,PG,Rural,Medium,Yes,no
ST5077,73.22,66.66,60.12,CBSE,87.3,2,No Coaching,7.7,Mid,12th,Rural,Medium,No,no
ST5078,67.81,82.59,55.06,State,61.62,1,FIITJEE,5.5,High,Graduate,Urban,Medium,Yes,no
ST5079,73.28,71.35,72.31,CBSE,90.33,1,Local,3.9,High,Graduate,Rural,High,Yes,no
ST5080,44.17,89.65,55.52,State,78.65,1,No Coaching,4.7,Low,Graduate,Urban,Low,No,yes
ST5081,68.92,50.1,90.18,State,77.83,2,FIITJEE,6.3,High,PG,Rural,Low,No,no
ST5082,77,68.17,52.31,ICSE,85.07,2,FIITJEE,4.9,Mid,12th,Urban,Medium,No,no
ST5083,92.69,67.35,71.28,CBSE,69.33,2,Local,8.7,High,PG,Urban,Medium,Yes,no
ST5084,64.74,48.89,86.8,ICSE,84.54,1,Allen,6.8,High,12th,Semi-Urban,High,Yes,no
ST5085,60.68,81.3,75.19,CBSE,71.23,1,Allen,5.5,High,Upto 10th,Urban,High,No,no
ST5086,64.98,100,70.11,ICSE,60.25,2,Local,2.6,Low,Graduate,Rural,Medium,No,yes
ST5087,84.82,65.73,56.38,State,65.02,2,Allen,4.2,High,Upto 10th,Rural,Medium,Yes,no
ST5088,76.6,74.08,51.42,State,80.67,2,FIITJEE,5.5,High,Graduate,Urban,Low,No,no
ST5089,64.58,67.35,77.24,State,65.55,1,No Coaching,2.9,High,Upto 10th,Urban,Low,Yes,no
ST5090,79.19,54.58,86.07,State,91.1,2,No Coaching,7.1,Mid,PG,Urban,Low,No,no
ST5091,73.36,36.87,62.73,CBSE,86.89,1,Local,2.6,Low,Graduate,Urban,Medium,Yes,no
ST5092,85.56,54.71,54.33,CBSE,88.33,2,No Coaching,3.2,Low,PG,Semi-Urban,High,Yes,no
ST5093,62.17,43.73,38.5,ICSE,76.25,2,Local,3.4,Mid,PG,Semi-Urban,High,No,no
ST5094,67.41,93.27,56.23,CBSE,77.58,2,Allen,6,Low,12th,Semi-Urban,High,Yes,yes
ST5095,66.51,64.16,66.64,CBSE,63.06,2,FIITJEE,2.9,Mid,Graduate,Semi-Urban,Medium,No,no
ST5096,51.51,60.47,87.19,ICSE,84.96,2,Allen,0.9,Low,Upto 10th,Semi-Urban,Medium,Yes,no
ST5097,76.15,80.23,76.08,State,78.8,2,Local,6.7,Low,Upto 10th,Urban,High,No,no
ST5098,75.65,48.05,71.66,ICSE,80.67,2,FIITJEE,3.6,Low,Graduate,Semi-Urban,High,No,no
ST5099,72.07,53.73,63.2,ICSE,91.88,2,FIITJEE,2.4,High,12th,Semi-Urban,High,No,no
ST5100,68.72,67.09,61,State,68.94,2,FIITJEE,3,Low,Graduate,Urban,Medium,No,yes
ST5101,52.18,82.46,84.87,ICSE,73.74,2,Allen,7.9,High,PG,Urban,Low,No,no
ST5102,66.11,74.03,70.41,ICSE,78.27,1,FIITJEE,3.2,High,12th,Rural,Low,Yes,no
ST5103,67.2,69.97,42.77,ICSE,65.65,1,Allen,4.3,High,PG,Rural,Medium,No,no
ST5104,60.77,67.25,59.92,CBSE,73.12,2,Allen,3.6,Mid,Graduate,Rural,Low,Yes,no
ST5105,69.74,72.4,57.7,State,79.93,2,FIITJEE,2,Low,12th,Semi-Urban,High,Yes,yes
ST5106,77.66,69.23,61.44,State,71.75,1,Local,3,Low,Graduate,Urban,Low,No,yes
ST5107,98.41,49.52,74.75,ICSE,88.09,1,FIITJEE,1.9,Low,Graduate,Rural,High,Yes,yes
ST5108,74.44,66.74,66.71,CBSE,59.89,1,FIITJEE,6.4,High,12th,Rural,Medium,Yes,no
ST5109,75.61,48.82,67.08,State,86.23,2,Allen,4.7,Low,12th,Semi-Urban,Medium,Yes,no
ST5110,70.96,67.3,83.76,State,81.61,2,FIITJEE,9.5,High,Graduate,Rural,High,No,no
ST5111,45.14,58.31,59.64,ICSE,69.31,2,Local,3.1,High,Upto 10th,Urban,High,Yes,no
ST5112,71.63,100,90.37,ICSE,65.76,2,FIITJEE,2.8,High,12th,Urban,Low,Yes,no
ST5113,72.84,65.36,59.94,ICSE,54.2,1,Local,7.6,High,Upto 10th,Rural,High,Yes,no
ST5114,100,43.53,69.07,State,67.05,1,No Coaching,6.6,Low,Upto 10th,Urban,Medium,No,no
ST5115,69.31,63.85,64.63,ICSE,85.47,1,No Coaching,5.3,High,Upto 10th,Rural,Medium,No,no
ST5116,76.22,74.31,69.48,ICSE,74.44,1,No Coaching,2.3,Mid,Upto 10th,Rural,Low,No,no
ST5117,71.51,92.77,73.34,ICSE,86.63,2,FIITJEE,8,Mid,PG,Urban,High,No,no
ST5118,55.64,56.57,73.21,CBSE,68.8,1,Allen,4.4,Mid,Graduate,Urban,High,No,no
ST5119,88,40.68,58.96,ICSE,82.07,1,Local,3.6,High,12th,Semi-Urban,Low,No,no
ST5120,82.53,79.07,54.53,State,67.83,2,No Coaching,6.8,Low,Graduate,Semi-Urban,Medium,No,yes
ST5121,83.07,43.91,98.04,ICSE,65.34,2,Local,4.5,Low,Graduate,Rural,High,No,yes
ST5122,59.27,59.02,62.19,State,73.93,2,Allen,2.2,High,Graduate,Urban,Low,No,no
ST5123,91.64,61.88,76.39,CBSE,68.35,1,Local,4.6,High,Graduate,Rural,Low,No,no
ST5124,52.37,64.89,48.71,CBSE,59.57,1,Local,2.9,High,Graduate,Semi-Urban,Low,Yes,no
ST5125,80.22,77.03,64.64,ICSE,73.18,2,No Coaching,0,Mid,12th,Rural,Low,No,no
ST5126,100,55.06,66.47,State,76.06,2,Local,2.7,High,Graduate,Urban,High,Yes,no
ST5127,58.13,61.62,73.67,ICSE,87.68,2,No Coaching,3.4,High,Graduate,Urban,Low,Yes,no
ST5128,64.07,65.77,35.33,ICSE,84.37,2,Allen,2.2,Low,Graduate,Semi-Urban,High,Yes,no
ST5129,73.4,68.39,69.99,State,87.2,1,No Coaching,5.7,Low,PG,Rural,Medium,Yes,yes
ST5130,64.95,67.57,54.2,State,82.2,2,Local,2.9,Mid,Upto 10th,Rural,Low,Yes,no
ST5131,50.29,72.98,71.89,State,78.33,1,Allen,5.5,Mid,PG,Urban,Low,Yes,no
ST5132,72.96,79.5,55.56,State,62.71,2,FIITJEE,2,Mid,Graduate,Semi-Urban,Medium,No,no
ST5133,57.13,72.28,57.73,State,76.5,2,FIITJEE,6.3,Mid,PG,Urban,Low,Yes,no
ST5134,78.63,73.26,64.72,CBSE,80.97,1,Allen,1.9,High,12th,Urban,High,Yes,yes
ST5135,59.13,40.68,55.37,CBSE,89.57,2,Allen,0,High,12th,Semi-Urban,Medium,No,no
ST5136,93.7,66.8,62.29,CBSE,81.86,2,Local,7,Mid,12th,Urban,Medium,Yes,no
ST5137,61.03,73.67,53.68,State,87.4,2,FIITJEE,2.8,Mid,Upto 10th,Rural,High,Yes,no
ST5138,67.49,77.66,46,State,64.68,1,Allen,8,Low,12th,Rural,High,No,yes
ST5139,83.39,54.92,80.22,State,71.74,1,FIITJEE,5.6,Low,Upto 10th,Rural,Medium,Yes,no
ST5140,54.77,55.46,52.45,ICSE,79.29,2,FIITJEE,6.1,Low,12th,Urban,Low,No,yes
ST5141,75.18,56.81,65.86,CBSE,86.61,2,Local,6.6,Mid,PG,Semi-Urban,High,No,no
ST5142,90.3,74.58,77.03,CBSE,73.55,1,Allen,4.7,Low,PG,Semi-Urban,High,Yes,no
ST5143,49.5,82.54,60.62,ICSE,74.18,1,No Coaching,4.7,Mid,PG,Semi-Urban,High,Yes,no
ST5144,74.58,59.48,58.1,ICSE,81.87,1,Allen,7.1,High,PG,Semi-Urban,Medium,Yes,no
ST5145,75.64,80.53,70.71,CBSE,63.74,2,FIITJEE,4.7,Mid,Upto 10th,Semi-Urban,Low,Yes,no
ST5146,82.95,67.98,81.42,State,91.07,2,No Coaching,3,High,12th,Urban,High,No,no
ST5147,54.68,64.01,53.97,CBSE,66.21,2,No Coaching,5.7,High,Graduate,Semi-Urban,Medium,No,no
ST5148,53.51,62.62,66.2,State,55.81,2,FIITJEE,0.3,Mid,PG,Rural,Medium,No,no
ST5149,79.31,77.95,47.21,CBSE,75.1,1,No Coaching,7.1,Low,12th,Urban,Low,Yes,no
ST5150,76.16,71.21,63.28,CBSE,91.98,1,No Coaching,7.2,Mid,12th,Rural,Medium,Yes,no
ST5151,75.51,100,68.41,ICSE,80.86,1,Allen,6.9,Low,12th,Semi-Urban,Medium,Yes,no
ST5152,76.85,52.36,57.74,ICSE,82.51,2,FIITJEE,6.8,High,Graduate,Semi-Urban,High,Yes,no
ST5153,62.48,74.29,62.52,State,75.41,1,Local,4.3,High,PG,Rural,High,Yes,no
ST5154,75.25,57.53,51.1,State,73.48,2,No Coaching,4.3,High,Upto 10th,Rural,High,No,no
ST5155,76.1,52.09,68.92,CBSE,59.55,1,FIITJEE,2,High,Upto 10th,Urban,Medium,No,no
ST5156,62,65.83,80.67,ICSE,52.41,2,Allen,8,Mid,Graduate,Semi-Urban,Low,No,no
ST5157,98.12,68.2,54.83,State,76.96,2,Allen,3.5,High,Graduate,Semi-Urban,Low,No,no
ST5158,78.63,100,60.53,State,88.13,1,Allen,5.2,Low,Upto 10th,Semi-Urban,Low,No,yes
ST5159,55.32,63.05,74.03,State,78.44,1,No Coaching,5,Low,Upto 10th,Rural,Medium,Yes,no
ST5160,81.19,47.92,82.55,CBSE,81.24,1,Local,1.8,High,PG,Semi-Urban,High,No,yes
ST5161,58.35,70.37,50.08,State,90.84,1,Allen,1,Mid,Upto 10th,Urban,Medium,No,no
ST5162,83.02,32.81,65.97,State,78.29,1,Local,4.5,High,Upto 10th,Urban,High,No,no
ST5163,88.22,64.53,71.4,ICSE,73.77,1,FIITJEE,3.6,High,Upto 10th,Rural,Medium,Yes,no
ST5164,60.51,66.26,66.78,ICSE,66.81,2,Allen,4.3,Low,Graduate,Rural,Medium,Yes,yes
ST5165,85.49,78.71,38.28,ICSE,95.22,1,No Coaching,6.6,Mid,Upto 10th,Urban,Low,No,no
ST5166,77.78,81.58,74.01,CBSE,80.27,2,Allen,4.9,Mid,Upto 10th,Rural,Medium,Yes,no
ST5167,83.51,57.94,86.23,ICSE,65.56,2,No Coaching,6,Low,PG,Rural,Low,Yes,yes
ST5168,98.56,63.59,69.4,ICSE,63.29,2,FIITJEE,5.4,Low,12th,Semi-Urban,Medium,No,no
ST5169,68.56,53.74,55.63,ICSE,87.53,1,Local,3.9,Low,Graduate,Urban,Low,Yes,yes
ST5170,61.45,47.95,61.84,ICSE,64.63,1,Local,2.5,Mid,Graduate,Semi-Urban,Medium,Yes,no
ST5171,59.55,70.96,89.24,State,93.54,1,Local,5,Low,PG,Urban,Medium,Yes,yes
ST5172,60.58,45.62,78.92,CBSE,50,1,Allen,4.7,Low,Upto 10th,Semi-Urban,High,No,no
ST5173,70.92,59.37,75.68,State,89.23,1,Allen,6.3,Low,12th,Urban,High,No,no
ST5174,76.78,50.08,72.28,State,79.87,1,FIITJEE,4.2,High,PG,Urban,High,No,no
ST5175,75.87,74.79,60.07,CBSE,76.19,2,Local,3.9,Mid,12th,Urban,Medium,Yes,no
ST5176,83.58,94.82,65.59,State,73.25,2,FIITJEE,4,Mid,Upto 10th,Rural,High,No,no
ST5177,72.18,45.17,67.06,ICSE,93.91,2,No Coaching,2.7,High,12th,Semi-Urban,High,Yes,no
ST5178,92.35,36.35,74.59,CBSE,82.07,2,Allen,7.4,Mid,PG,Rural,Medium,Yes,no
ST5179,68.29,64,86.11,State,65.97,2,Local,6.8,Low,Upto 10th,Rural,Medium,No,no
ST5180,100,66.25,81.42,State,57.81,1,Allen,2.1,High,Graduate,Urban,High,No,no
ST5181,80.76,69.5,50.97,ICSE,76.77,1,Local,6.1,Low,12th,Urban,High,Yes,no
ST5182,60,58.86,70.69,State,74.99,2,Local,0.8,Low,Upto 10th,Rural,Medium,Yes,no
ST5183,57.01,62.79,76.84,State,59.8,2,Allen,6.5,Low,Upto 10th,Rural,Medium,No,no
ST5184,78.75,71.88,75.43,State,74.45,2,Allen,3.1,Low,PG,Rural,Low,No,no
ST5185,68.87,82.65,60.45,CBSE,69.26,1,FIITJEE,5.2,Mid,Upto 10th,Urban,Low,Yes,no
ST5186,82,34.72,100,CBSE,75.09,1,Allen,0.6,High,PG,Urban,Medium,Yes,no
ST5187,78.63,60.1,52.67,State,82.26,1,Allen,2.1,High,Graduate,Urban,Medium,No,no
ST5188,70.98,69.42,55,State,89.93,1,Allen,5.4,Low,12th,Semi-Urban,High,Yes,yes
ST5189,60.14,51.31,70.8,ICSE,84.09,1,No Coaching,3.1,High,Graduate,Rural,Low,Yes,no
ST5190,50.79,93.7,93.4,CBSE,67.79,1,No Coaching,2.8,High,PG,Rural,High,Yes,no
ST5191,65.75,55.83,57.97,CBSE,78.69,1,No Coaching,7.3,Low,Graduate,Semi-Urban,Low,Yes,yes
ST5192,83.99,65.34,64.81,CBSE,75.63,2,FIITJEE,8.9,Low,12th,Rural,High,No,no
ST5193,75,74.9,80.93,State,61.68,2,FIITJEE,6.4,Mid,Graduate,Rural,Low,No,no
ST5194,54.56,56.54,67.79,ICSE,78.98,1,Local,2.3,Mid,Upto 10th,Rural,Medium,No,no
ST5195,74.42,36.45,63.98,ICSE,93.57,2,FIITJEE,8,Low,12th,Semi-Urban,Medium,Yes,no
ST5196,77.39,59.14,74.79,State,75.32,1,Allen,1.4,Mid,Graduate,Semi-Urban,Medium,Yes,no
ST5197,59.63,82.47,71.27,State,59.06,2,Local,3.9,Mid,12th,Rural,High,No,no
ST5198,74.15,60.61,80.37,ICSE,75.3,1,Allen,4.6,High,Graduate,Urban,Low,Yes,no
ST5199,72.81,52.46,83.5,ICSE,62.86,1,Local,8.3,Low,Upto 10th,Rural,High,Yes,yes
ST5200,56,80.81,71.68,CBSE,83.64,2,FIITJEE,6.3,High,PG,Rural,Medium,Yes,no
ST5201,77.01,60.71,71.5,State,80.25,1,No Coaching,3.6,High,Graduate,Urban,Low,No,no
ST5202,79.85,57.84,70.57,CBSE,73.29,2,Allen,2.6,Low,12th,Rural,Low,Yes,no
ST5203,87.16,68.39,73.87,ICSE,71.69,1,Local,6.5,High,Graduate,Rural,High,Yes,no
ST5204,86.75,78.33,68.66,CBSE,72.88,2,No Coaching,3.4,Mid,PG,Semi-Urban,Medium,No,no
ST5205,52.71,100,67.99,ICSE,75.08,1,Allen,4.9,Mid,Upto 10th,Rural,High,No,no
ST5206,58.87,79.24,82.36,ICSE,67.28,2,Allen,1.8,Mid,Upto 10th,Urban,High,No,yes
ST5207,79.21,84.56,86.19,CBSE,61.12,1,No Coaching,5.6,Mid,PG,Semi-Urban,Medium,Yes,no
ST5208,79.19,57.9,49.91,State,86.39,2,FIITJEE,5.5,Mid,Upto 10th,Semi-Urban,Medium,No,no
ST5209,79.21,49.59,68.12,CBSE,71.15,2,No Coaching,2,High,Graduate,Urban,High,Yes,no
ST5210,100,67,59.74,CBSE,76.67,2,FIITJEE,6.6,Low,12th,Urban,Low,No,no
ST5211,79.99,67.71,64.27,State,77.85,2,Local,5.6,High,Graduate,Semi-Urban,Medium,No,no
ST5212,87.9,48.74,72.83,State,78.22,1,FIITJEE,6,High,PG,Rural,Medium,No,no
ST5213,85.36,63.2,76.03,CBSE,63.26,2,Local,3.7,Mid,Graduate,Rural,Medium,No,no
ST5214,81.12,72.39,66.65,ICSE,58.24,1,Local,4.9,Mid,Graduate,Semi-Urban,Medium,Yes,no
ST5215,67.59,71.77,45.04,CBSE,69.11,1,Local,4.6,High,PG,Rural,Low,Yes,no
ST5216,82.63,74.07,56.42,ICSE,78.96,1,Local,4.2,High,12th,Semi-Urban,Low,Yes,no
ST5217,61.18,70.66,78.76,State,67.72,1,Allen,4.8,Low,Upto 10th,Urban,High,No,yes
ST5218,68.68,57.89,35.11,State,71.45,1,Local,7,Low,PG,Rural,High,Yes,yes
ST5219,65.2,57.78,82.25,ICSE,96.27,1,Allen,6.6,Low,Upto 10th,Rural,Medium,No,yes
ST5220,73.15,46.82,74.25,CBSE,56.55,1,Allen,2.1,Low,Upto 10th,Semi-Urban,High,No,no
ST5221,100,94.56,83.79,State,67.45,1,Local,6.5,Low,PG,Semi-Urban,Low,Yes,no
ST5222,45.86,66.22,65.62,ICSE,93.97,2,FIITJEE,6.9,Mid,12th,Rural,Medium,No,no
ST5223,81.61,62.4,43.26,ICSE,74.55,2,FIITJEE,4.2,Low,PG,Rural,Medium,No,yes
ST5224,49.42,51.14,73.16,CBSE,67.94,1,No Coaching,5.5,High,PG,Rural,Medium,No,no
ST5225,65.39,100,83.3,ICSE,86.69,2,Allen,5.5,Mid,Graduate,Urban,High,No,no
ST5226,87.25,48.83,79.1,ICSE,75.55,2,Allen,2.8,High,Graduate,Rural,Medium,No,no
ST5227,72.9,59.14,60.05,CBSE,71.52,1,FIITJEE,3.7,Mid,PG,Rural,Medium,Yes,no
ST5228,56.91,72.65,69.04,State,76.92,2,Allen,6,Mid,Graduate,Semi-Urban,Low,Yes,no
ST5229,61.99,75.6,61.61,State,68.42,2,FIITJEE,3.5,Low,12th,Urban,Medium,No,no
ST5230,81.51,81.33,58.17,State,64.83,2,No Coaching,6.5,High,Graduate,Semi-Urban,High,No,no
ST5231,61.77,94.92,79.46,ICSE,73.86,1,Local,7.1,Low,12th,Rural,Medium,Yes,yes
ST5232,75.03,74.1,53.63,ICSE,64.89,1,Local,6.8,High,Upto 10th,Urban,High,No,no
ST5233,72.64,49.1,57.27,CBSE,75.11,2,Local,8.5,High,Upto 10th,Rural,Low,Yes,no
ST5234,62.88,61.89,54.75,ICSE,78.54,1,No Coaching,4.3,Low,12th,Urban,Low,Yes,yes
ST5235,100,70.93,50.12,ICSE,83.53,1,Allen,4.9,Low,Upto 10th,Urban,Medium,No,no
ST5236,80.87,99.09,69.76,State,86.28,2,No Coaching,5.1,Mid,12th,Urban,Low,No,no
ST5237,43.65,43.64,81.94,ICSE,70.94,2,Allen,4.4,Mid,PG,Urban,Medium,No,no
ST5238,74.61,85.24,65.78,ICSE,79.99,2,Allen,5.6,Mid,Graduate,Urban,Low,Yes,no
ST5239,62.73,68.88,49.93,ICSE,79.93,2,Local,1.1,High,Upto 10th,Urban,Low,Yes,no
ST5240,83.93,79.41,78.08,CBSE,78.28,1,FIITJEE,4.9,Low,Upto 10th,Semi-Urban,High,No,yes
ST5241,60.9,64.37,88.23,ICSE,70.21,1,FIITJEE,1.7,Mid,PG,Semi-Urban,High,No,yes
ST5242,70.39,52.52,60.25,CBSE,64.72,1,Local,2.6,Low,Graduate,Rural,Medium,Yes,yes
ST5243,79.07,78.01,62.26,State,80.02,1,Allen,6,Mid,Graduate,Urban,Medium,Yes,no
ST5244,84.12,76.47,74.19,ICSE,57.93,1,No Coaching,4.1,Mid,12th,Urban,High,Yes,no
